Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Authenticity check: Bots
6a567b57640463c60571749d,69fc92c1f3c44855dd9cdc46,AWAITING REVIEW,Not Applicable,2026-07-14T18:09:37.675000Z,2026-07-14T18:31:40.820000Z,,2026-07-14T18:31:41.403453Z,1324,C1PMQFKL,282,23,Female,Black,Nigeria,Canada,Canada,English,No,Part-Time,high
6a573a78e4fbb75a333d83c8,69f1386d8f8e9af4ec5759a7,AWAITING REVIEW,Not Applicable,2026-07-15T07:48:37.589000Z,2026-07-15T08:06:14.369000Z,,2026-07-15T08:06:14.898588Z,1057,C1PMQFKL,372,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,high
6a5751ad9c0e34ed586c4546,69ac4a8252f08f66b05aa859,AWAITING REVIEW,Not Applicable,2026-07-15T09:24:19.071000Z,2026-07-15T09:47:03.787000Z,,2026-07-15T09:47:04.151684Z,1365,C1PMQFKL,1909,57,Male,Black,Zimbabwe,United States,United States,English,No,Full-Time,high
6a5752324c6044d81a12b5d3,6a00c2d21d039d6d315fb589,AWAITING REVIEW,Not Applicable,2026-07-15T09:26:11.998000Z,2026-07-15T09:49:52.519000Z,,2026-07-15T09:49:52.941414Z,1421,C1PMQFKL,331,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,high
6a575235b489c0f9520426a5,66e48a2f722b573550b3796f,AWAITING REVIEW,Not Applicable,2026-07-15T09:26:18.442000Z,2026-07-15T09:50:57.480000Z,,2026-07-15T09:50:58.011808Z,1480,C1PMQFKL,2023,53,Female,White,Canada,United Kingdom,Canada,English,No,Full-Time,high
6a57530cfe2d6abc54c93add,5e7b804f9379140478c688da,AWAITING REVIEW,Not Applicable,2026-07-15T09:29:51.244000Z,2026-07-15T09:48:15.027000Z,,2026-07-15T09:48:15.392622Z,1104,C1PMQFKL,4260,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,high
6a57531d19e543637bde31c5,6a1ec9f0bcdd976510c2af44,AWAITING REVIEW,Not Applicable,2026-07-15T09:30:53.896000Z,2026-07-15T09:44:53.854000Z,,2026-07-15T09:44:54.200766Z,840,C1PMQFKL,247,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),high
6a57531df7b659090652d42d,6a2458a9b1d158d0c9952ea7,AWAITING REVIEW,Not Applicable,2026-07-15T09:30:11.739000Z,2026-07-15T09:47:47.637000Z,,2026-07-15T09:47:48.066793Z,1056,C1PMQFKL,180,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,high
6a57531e5ec0317a7a878e41,69e6501efccf9d6a51789a02,AWAITING REVIEW,Not Applicable,2026-07-15T09:30:10.173000Z,2026-07-15T09:44:15.540000Z,,2026-07-15T09:44:15.873574Z,846,C1PMQFKL,135,36,Male,Asian,Sri Lanka,United Kingdom,Sri Lanka,English,No,Full-Time,high
6a57531f981d5f08c315c3ea,6658e56b488052210af6f6dc,AWAITING REVIEW,Not Applicable,2026-07-15T09:30:10.204000Z,2026-07-15T09:47:37.712000Z,,2026-07-15T09:47:38.213557Z,1048,C1PMQFKL,2311,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,high
6a575321bc16d5d192d7da48,6a19f0ccaba0516a8a535750,AWAITING REVIEW,Not Applicable,2026-07-15T09:30:28.427000Z,2026-07-15T09:45:09.188000Z,,2026-07-15T09:45:09.556018Z,881,C1PMQFKL,195,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,high
