participant_id,prolific_pid,age,sex,ethnicity_simplified,country_of_residence,student_status,employment_status,time_taken
0pf1lzw6,6a2458a9b1d158d0c9952ea7,41,Male,White,United Kingdom,No,Full-Time,1056
75y1tqf2,5e7b804f9379140478c688da,30,Male,White,United Kingdom,No,Full-Time,1104
7v1pxg3v,66e48a2f722b573550b3796f,53,Female,White,United Kingdom,No,Full-Time,1480
lqeojjlx,69e6501efccf9d6a51789a02,36,Male,Asian,United Kingdom,No,Full-Time,846
p3j7wasb,6a19f0ccaba0516a8a535750,33,Female,White,United Kingdom,No,Part-Time,881
pc4u2ske,6a1ec9f0bcdd976510c2af44,30,Female,White,United Kingdom,No,Unemployed (and job seeking),840
s2tddlj3,69f1386d8f8e9af4ec5759a7,30,Female,White,United Kingdom,No,Part-Time,1057
sdf2mq45,69ac4a8252f08f66b05aa859,57,Male,Black,United States,No,Full-Time,1365
sw8g5h4k,6a00c2d21d039d6d315fb589,36,Male,White,United Kingdom,No,Full-Time,1421
ty6pnexp,6658e56b488052210af6f6dc,51,Male,White,United Kingdom,No,Full-Time,1048
