participant_id,prolific_pid,session,feedback_text
0pf1lzw6,6a2458a9b1d158d0c9952ea7,fbsg189m,NA
75y1tqf2,5e7b804f9379140478c688da,3guak2yo,all good
7v1pxg3v,66e48a2f722b573550b3796f,bdyzcp3e,"No, it just felt a bit long and monotonous"
lqeojjlx,69e6501efccf9d6a51789a02,2v8qby4v,Repeatable same question creates confusion some times
p3j7wasb,6a19f0ccaba0516a8a535750,mx68ktcf,There seemed to be a lot of repetition of questions. I was not sure if the study had broken as there was no way of seeing if I was progressing!
pc4u2ske,6a1ec9f0bcdd976510c2af44,pmj1a9ek,NA
s2tddlj3,69f1386d8f8e9af4ec5759a7,an6ocf07,By asking repeatedly about certain things i may be feeling it really made me think hard about my emotions rather than just pushing them to the side.
sdf2mq45,69ac4a8252f08f66b05aa859,u4xs1eac,No
sw8g5h4k,6a00c2d21d039d6d315fb589,tjf3vz41,NA
ty6pnexp,6658e56b488052210af6f6dc,vflcqrw9,£1 is a poor amount of money to pay for this survey
